text,label
"@Vit_Rakusan @STANcz @AndrejBabis Nezačnou-li devianti holdingu demonstrovat proti předání moci Petru Fialovi, dostanou padáka♻️
Tak Babiš brutálně vyhrožuje 24.000 zaměstnancům, které vlastně nevlastní.
Lidé se na něj samozřejmě vykašlou 🖕
Babiš zavře fabriky a ušetří za energie ✔️
🩺 ☢️ #urputnéhovado 🦨 🪠 🦟 ",after
"strašně mě baví, jak Babiš dostane v té debatě nějaký dotaz a vždycky ho jakýmkoliv způsobem dokáže překroutit tak, aby mohl nějak útočit na PirStan a na Bartoše 😹😹😹😹 to je fakt šašek tyvole.",before
"@Brendy1968 @AndrejBabis Možná se čeká na dobu, až bude jisté, že nedostane milost.",after
Babiš se vyslovil pro stanovení horní hranice ceny emisních povolenek ,before
@AndrejBabis @novinkycz Ještě že za týden půjdeš do hajzlu,before
"@PatrikNacher @AndrejBabis A vy z toho budete mít dva ne?
Já bych si nestěžoval bejt váma.",after
"@AndrejBabis @Spravazeleznic Já tady u Babiše fakt naprosto zbožňuju tyhle ""mělo by"" a ""někdy bude"". 😂😂🤣🤣

Slibem fakt nezarmoutí.

A vzpomímáme na halu pro Sáblíkovou. A na levná data....... 🤕🤪🤦‍♂️🏳️🏳️",before
@vrchnikomisar @ProCizi @SPD_cz @volimANO @MichalFier1 @AndrejBabis Ale no tak..Vy jste jen hlupáci co lezou StBakovy do řitního otvoru a nechtějí si to přiznat!Je konec!,before
"@VVetvicka @ODScz Babis klasicky jájínek.... to je takova nahravka na smec, kterou Spolu nedokazala celou dobu vyuzit. Kampan ANO zacilena jen na AB, personalni bida hnuti zůstala bez povsimnuti",before
"#Andreji, na sestavení vlády máš dva pokusy. Babiš prozradil, co mu řekl Zeman
#Andrej Babiš",after
"@PavelNovotnak @AndrejBabis @CNNPrima Pavle, stbácké kurvě TYKAT!",before
@Jan_ahoj @PatrikNacher @BeckaJaroslav @AndrejBabis Tak jo. Budiž vám přáno. Nesrát znamená prasknout 👆,before
"@KoslerovaVera @petrrossan @CNNPrima Nevím, kolik se dá uřvat v takto zorganizované show. Bartoš byl celkem dobrý. Fiala měl štěstí, že si Babiš vybral jako soupeře Bartoše. Mohl tak být ve své přirozené roli klidného slušňáka. Formát pořadu nejvíc seděl Okamurovi.",before
"@AndrejBabis Vy, pane Bureš, asi nevíte, že se domluvili s majtelem reklamního prostoru a zaplatili mu za to, tím nic PIRSTAN neporušil vy debil",before
"@demoblok @AndrejBabis Opatření na výdajové straně. Fixace jiných než zákonem valorizovaných položek. Zrušení řady dotací, zrušení přípravy nesmyslných projektů, omezení neinvestičních nákupů, slevy na jízdném, celkem minimálně za 100 miliard.",before
"@aIenaschilIerov @jedle007 @KarelHavlicek_ @AndrejBabis Tak ale mohla by začít, když už nebude bydlet v Pařížské, ale na poslanecké ubytovně.",after
"@ivokubes @AndrejBabis A ještě mu hlásí aktuální stav spolustraník z Ikemu. Pochybuji, že ta uniklá SMS byla jediná.",after
@danelka_iv @jedle007 @KarelHavlicek_ @AndrejBabis Předseda říkal že se z Pařížské přestěhujeme kousek od Paříže.,after
@AdamekMiroslav @UltramoraviaSpk @AndrejBabis NIKDY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Slovák tu už jednou byl. V historii nám vládlo plno cizáků. To chceme? To si kurva neumíme zvolit Čecha?????!!😡😡😡😡😡😡😡😡😡😡,after
"@SlavaUk64357855 @strakovka @AndrejBabis Tak já nevím. Kdysi, když kvokala slepice, namočila se do studené vody. Máte doma sud a vodovod?",before
"Najednou se všichni diví, jak musi být Babiš vyprázdněnej, že pomalu opisuje volební hesla od Okamury. No vždyť jeho kámo Orbán, aby se udržel u koryta, taky začal vykrádat program a hesla Jobbiku. ",before
"@JohnRih7 @market_a Během půl roku bude mít SPOLU preference zhruba na třetině volebního výsledku. Babiš je lotr mexickej, ale tohle je zkrátka nefalšovaný klub sráčů...",after
"@PREZIDENTmluvci 1) A vy se zase chlubíte tím, že jste volil trestně stíhaného @AndrejBabis. Co má být? 
2) Fajn, tak svá tvrzení dokažte.",after
"@PetrHonzejk Tak samozřejmě, Babiš na hrad. Faltas kancléřem a Vondráček mluvčí.",after
"@ZdenkaBeneov @JiriStefek @TomasZdechovsky @P_Fiala @AndrejBabis @kducsl @SpoluKoalice Opravdu?
Jsem jen hloupý pobíječ much - ale on přece tvrdí, že mu nic nepatří! Jinak by mohl být ve střetu zájmů, ne?

To jsem blázen...",before
@petrschonfeld My jsme kňouralové. Proto se tu Babiš uhnizdil,after
"Volby jsou za námi, drama zdaleka nekončí. A to nejen kvůli otázkám o zdravotním stavu prezidenta Zemana. Jakou vládu můžeme čekat od koalice pěti stran? Co bude největší komplikace při jejím sestavení? Míří @AndrejBabis skutečně do opozice? Více na zítřejší diskuzi s @RESPEKT_CZ",after
"@VyvleckovaM @AndrejBabis @SpoluKoalice Poslední vagón v soupravě spolukoalice, který by to sám nedohrabal ani na pět procent je nejvíce slyšet.",before
@AndrejBabis lže snad úplně o všem totiž 🙂 ,before
@Karel51323953 @AndrejBabis @Frekvence1 Nadávej si sobě.,after
@SailorTonda @LucieKorcova @iROZHLAScz @CRoPlus @Radiozurnal1 Celek taky ne. Babiš oslovil 15% obyvatelstva. Pak ale do toho nějak vstoupila ta vaše demokracie.... a bum.,before
"@ASafarovic @Owlinka @CT24zive Neocekavam, že si 8.11. začnu myslet, že by kdokoli měl za Babiše čistit ten svinčík, kterej Babiš způsobil a pak ještě poslouchat Babišovo obviňování, že za Babišovo nevycisteny sracky může někdo jinej....",after
"@AndrejBabis dělá naší zemi ostudu už dlouho.Teď se dokonce rozhodl, zřejmě po vzoru svého kamaráda, xenofoba a likvidátora demokracie,nepustit na tiskovku nejprestižnější evropské deníky @DIEZEIT @MartinNejez a @lemondefr @jbchastand.Ostuda‼️Stydím se za něj, snad už ne dlouho..",before
"@AndrejBabis Moment, nějak tomu nerozumím:
to, že chce někdo vyčistit státní správu od slouhů nějakého holdingu
(a přidal bych: estébáckého zmetka, zloděje dotací a daňového podvodníka strčit do tepláků, ve kterých už ho jen vynesou na smetiště),

je nějaká urážka TĚCH DRUHÝCH?🤔",after
"@ZrzavaHyena @P_Fiala @AndrejBabis Trouba který prezvykuje  trapné floskule z teorie o ničem, nikdy nic neřídil ani nedělal jen zvaní a lže v duchu věhlasné dvojice kolibřík, mazanek.",before
"@Nadezda95436430 @tomas_dosek @PREZIDENTmluvci Bude se to protahovat, Babiš po sobě chce uklidit 😉",after
@Lukas__Valenta @AndrejBabis Zbavit trestního stíhání že?,after
"@MisaPopelky Další věc je, že Babiš se může vzdát mandátu poslance, že? Osobně si myslím, že když bude chtít, tak si to v takové situaci takhle zařídí.",after
"@keraz72 @AndrejBabis Tuhle mouku dojíždím z pandemických zásob. Takže fakt nevyschla. 🤣
Když hrozilo zavření obchodů, nakoupil jsem 60 kg mouky, 60 kg pairboled rýže, dvě krabice droždí a plnej mrazák masa a mražený zeleniny. Spustil jsem hysterii s droždím. 🤣🍺",before
"@VeslavM @AndrejBabis Mě u této vlády už od začátku vadí, že vědomě plánuje rozpočty u kterých ví, že nejsou reálné. A to jen proto, aby na konci roku mohla říci, že byl nižší než byl plán. Vnáší to nejistotu a to chlubení se ""snížili jsme to o 50 miliard"" u 400 miliardového deficitu je... smutné 😞",before
"@jonasek11 @darina_vymetali -&gt; Denně píše (on a jeho tým) za zvolené poslance a přeneseně byl také zvolen on a ne oni. Samotní poslanci jsou jen loajální položky na výplatní listině.
A pokud se nějakým nedopatřením Babiš vyjádří sám, pozná to každý, kdo není úplně mimo.",after
"@JZdesena @AndrejBabis Babiš, že by něco vrátil? Nenechte se vysmát 😂",after
@MatlRadek @AndrejBabis A na jak dlouho? Na rok nez6 se rozkope že😄,before
"@VietnamecZHane @matschneid Nápad na text:

Co mají společného Haaland a Babiš?",after
@AndrejBabis @novinkycz Piráty nikdy volit nebudu !!! Jejich názory a smýšlení jsou pro náš stát devastující a nebezpečné,before
"@JirHorak @AndrejBabis Hodně komunistů trvrdilo, že vstoupili do strany, aby ji “rozložili” zevnitř. Konečně se to AB podařilo, a ani to nechtěl.",before
"Poslední dnešní KMENTÁŘ:

I kdyby to prezident torpédoval, nebude to trvat věčně. To chce klid a vydržet to. Ono se to poddá. 
Babiš skončil. 
Bude líp.
😉👍🍀 ",after
"@mlyvla @jindrichsidlo Jasně, staročeši a mladočeši. Hilsner je hnusný JINÝ.  Uvízli jsme v 19 století a máme pocit že WE s Green dealem jsou strašně RYCHLÝ. To je pohled balkánské TRADIČNĪ vesnice…střední třída je na vyhynutí, zůstane jen Babiš, PPF a lůza. Když Babiš a Zeman vyhrajou. Díky!",before
"@jedle007 @AndrejBabis @KarelHavlicek_ On ten Andrej je opravdu nesvéprávný debil. Co jsem slyšel ten přepis jednání s hygieniky, tak je s podivem, že se dokáže sám najíst.",before
A ten zbytek půjde případně kam? Aneb vydělá na tom - aspoň myslím - zase Babiš. ,before
"@JardaEfko @AndrejBabis No abych pravdu řekl, moc tomu nerozumím. Andrej si založí v 2009 firmy, půjčí jim, ty si koupí chateau a v 2018 skončí chateau ve svěřenských fondech a půjčka se Andrejovi vrátila? To je nějaký generátor zámečků? 🤔 Kde mám chybu?",before
"@MisaPopelky Bohužel, souhlasím. Bartoš na lídra nemá drajv, Babiš - tomu stačí být Babišem.",before
"@PatrikNacher @AndrejBabis Já bych ten Green Deal splnil na 110%. A dáme všecko na elektriku!

To bude pak úplně úžasný jak bude všechno čistý.

Teda tu hodinu denně co budem mít elektriku puštěnou na příděl.",before
"@Malisman_77 @david_kruta @AndrejBabis @Frekvence1 Ne, to nejsem, ale popsalo to několik odborníků. StB falšovala běžně a spoustu expertů to potvrdila. Jeden papír by byl podezřelý, proto se falšovaly celé složky. Složky skutečných agentů byly skartovány ještě před pádem komunismu.",after
"@RadouchNews @AndrejBabis Nebojte, jedno zklamání ještě nic neznamená! On se najde někdo jiný, který vás ovečky na chvíli zase pěkně oblbne. Držte se! ✊",before
"Btw, zajímalo by mě, kolik kdo mluvil času. Bylo sice pozváno 8 lídrů, ale rovnoměrně rozložený čas podle mě nebyl. Babiš, Rakušan a Fiala mluvili nejdéle.

Šlachta s Filipem skoro bez prostoru...",before
"Pokračuje předvolební debata, ve které diskutují premiér Andrej Babiš (ANO) a předseda Pirátů Ivan Bartoš ",before
@maestrosill Babiš uklízí?,after
"@durcak_michael Babiš dvěma dny volna 😁 Stejně jsem ho nevolil, hajzla...",after
"@JardaEfko @AndrejBabis @CzechTV I když ho rád sleduju, tak se mi zdál slabší výkon @MartinReznicek, zvlášť když to porovnám se včerejší Světlanou. Ale možná je to jen můj subjektivní dojem.",before
@CT24zive Bude u očkování @AndrejBabis přítomen státní notář?,before
"@KarelHavlicek_ @AndrejBabis No konečně Kájo, několik dní nic , už jsem se bál, že jste nemocný. A co paní Alena ?",after
@Duan84144095 @AndrejBabis @Frekvence1 Takže máš jen tu Slonkovou... dost chabé. Něco jako pištění Šafra o Andym juniorovi.,after
"@pavelsafr @Michal_Klima Daší lež „svobodná a nezávislá média“. Média v Czechii patří OLIGARCHŮM. (Bakala, Babiš, nebožtík Kellner, Křetínský atd.)",after
"@Petrroll @Anchorman2407 @Roman_972 @AndrejBabis @SpoluKoalice Bude se opakovat. Já vás určitým způsobem chápu, ale reagoval jsem na slovo “lynč”. Vy to omlouváte, že to tak autor nemyslel, že je potřeba jen konfrontovat markeťáky, ale to já prostě ve významu slova lynč ani při nejlepší vůli nevidím. Na vaše vyjádření bych tak nereagoval",before
"@RRajchlik @KanalNekorektni @mazumderova Takže na scéně máme nepriznane příjmy jak řekl sám Babiš že v jeho přiznáních nebyly všechny příjmy, a schéma sloužící k praní peněz. Do toho strcene ty nepriznane peníze. A na konci peníze zpět a půl vsi ve Francii se zakrytým původem a cesty peněz.",before
"@dbullcutter @MelkusovaIvana @PetrHolec To je logické. Jourová má určitě ráda peníze a její boj za demokracii a svobodná média nemůže brát přece nikdo vážně, tak proč si nebrat peníze z Bruselu a ještě od Babiše za občasnou protislužbu? Ona není v úplně bezvýznamná osoba bez vlivu. Babiš o vliv přišel.",after
"@PepaKopecky @AndrejBabis Andreji a kdo si myslíš, že to zaplatí? Ty určitě ne!!! Zase  to zaplatí obyčejní lidé, protože katastrofálně vybrakovanou státní kasu musí někdo opět naplnit!!!",after
"@martmarek @p_doubravsky @michalpur P. Doubravský 👍 Ten mladý pán vidí dál než většina této společnosti! Je načase, aby příští vláda z gruntu překopala systém českého vzdělávání, jinak se tento národ nehne dál. Babiš učitelům přidával ale s kvalitou výuky se to nepotkalo! Jinak, nic proti vyšším platům učitelů!",after
"@HKomentare @ElDeeEl1 @FackaDoTvarePK @RicicaMatej @AndrejBabis @petaas00 @JaroslavCibulka @LukasKovanda @prchal Nebyl nelžete, zbytečně se snažíte ho ocernit. Komunista nikdy nebyl, to bylo zfalsovane pozdeji... Slovák taky nebyl, vždy  byl Čech jak poleno. Patří mezi největší Čechy.... Nemyslí na nic jiného než blaho národa. Agrofert násilne převzal pro Čechy",before
@adamvojtechano @AndrejBabis @iROZHLAScz Bejt Váňa se na ně vyseru ať se ty svině v tom utopěj 🤮💩🤮💩🤮💩,after
"Shrnu to, Babiš byl na hradě pak odvezli Zemana do ÚVN s kým vlastně Babiš mluvil? Se Zemanem nebo s hradními pány myslím trio. Odejde zadním vchodem a bez komentáře divný. Jinak Zeman mimo  asi v agonii převezen do nemocnice, lékař drží hlavu, tím byl buď utlumen léky nebo v",after
"@Josef63965589 @kalousekm @iROZHLAScz No na to že je zloděj moc bohatý není, ale takový Babiš to má z toho jak byl šikovný podnikatel že?",after
@VejvyCZ @ZERO045309001 @abctrutnov @AndrejBabis Propustka k lékaři platí na nezbytně nutnou dobu. Předpisy žádné lhůty a doby v tomto směru neznají.,after
"@HKomentare @TomasZdechovsky @AndrejBabis To se nedá závidět, jen se snažit porozumět, jak moc se tihle lidé stáli závislí na moci v jejich různých podobach",after
"@OndrejNovacek Marek Benda neví, jak vypadá lopata, leží v PS už cca 30let, ať se raději zdrží hlasování, že mu není hanba, na práci ještě nesáhl. A kritiky ať také zanechá. Pan Babiš je velmi úspěšný.",after
"@82_citizen @ivokubes @RenataVinklero1 @AndrejBabis No to by byla a dělilo nás 0,7 % hlasů. Cca 35 tis. lidí. 9.10. by časem, pokud to vydrží, mohl být alespoň významný den ;-)",after
"@ivondrak @AndrejBabis A co mi Váš šéf připomněl. Opravdu nesnáším, když politik pohrdá institucemi, do kterých je volen. :)",after
@BoenaP2 @MMartyxx @VtzslavNovotn1 @Bohumil_69 @AdamekMiroslav @AndrejBabis Pořád neodpovídáte na otázku.,after
"@d_obilankenobi @VasagitaS Babiš by na tom nic nezískal, má na tom zájem hlavně česká opozice, demoblok.",before
"V pojetí @AndrejBabis prezident prakticky nepracuje a tak je ok (klidně do prosince, jak tuhle vykládal) jen tak sedět na prdeli a nechat zemi ve vakuu. Jakej puč? Máme sakra ústavu. On, tuplem jako premiér, má jít, udělat Čau lidi a vysvětlit jak to je. ",after
"@JiriParkes @AndrejBabis Kdo nešíří nákazu, podporuje Babiše.",after
"@michalsnobr Co je pravdy na tom, že Babiš říká že dluh který přebral po pracivové vládě byl vyšší než který Ano nadělalo?",before
"@simon_hrodek @Dr_V_Kulihrach @CT24zive Pozor, koalice už není ani koalice. A volby vyhrálo ano, přitom sám Babiš uznal porážku 🙂",after
"Emisní povolenky pro domácnosti? To jako vážně?
Babiš ve svém komentáři ke čtvrtečnímu jednání zmínil také Franse Timmermanse. Mluvil o tom, že Timmermans má představy o tom, že by emisní povolenky byly v budoucnu nuceny kupovat také jednotlivé domácnosti.
",after
@strakovka @AndrejBabis Babiš přijel z Bruselu jako zpráskaný pes...,after
"@pucost1 @RicicaMatej @AndrejBabis @prchal Jemu a celý ty partičce je to úplně fuk, je zajímají jen prachy a vlastní prospěch. A až Babiš skončí, tak půjdou o dům dál a tam to rozjedou třeba úplně naopak. Oni nemají svědomí, mají jen velmi silný žaludek co pozře všechno.",before
"@SkutecnyM @CNNPrima @AndrejBabis @CT24zive Pan premiér nabízí spravedlivou společnost rovných šancí pro všechny, profesionální vedení ekonomiky státu a na rozdíl od všech našich předchozích Vůdců (tedy kromě pana prezidenta Zemana), nekrade.

Kdo nevolí Babiše, řeže si větev sám pod sebou i pod svými dětmi.",before
"@HKomentare @david_kruta @AndrejBabis @Frekvence1 Kecy v kleci. Na Babise je tech dokumentu prilis, a jsou hodne podrobne, na to, aby se dalo rict ze takhle to melo vicero lidi.

Strkejte si hlavu do pisku jak chcete, podplacen Prchalem chroctejte blahem, nic to nezmeni na faktu, ze Andrej Babis byl agentem STB.",after
"Andrej Babiš je nejlepší premiér, jakého tato země kdy měla... ",after
"@masinko To se nikdo nedovi. Ale čas šel proti babisovi i zenanovi. Babiš potřeboval jmenovat a zeman(nejedly) odložit schůzky s Fialou. Doteď ho viděli jen kamarádi typu Hamacek, Filip, Okamura.",after
"@portlik @AndrejBabis A co myslíš, jak nás reprezentovali pánové Dalík, Topolánek, Rittig, Kocourek, Vondra, Drobil, Oulický , Alexander novák?",before
"@StepanNemec1 @rubasrubas @market_a Bývalo zvykem, že strana, která byla v opozici a neprohrála o parník, tak měla předsedu, minule Babiš o parník vyhrál, tak měl i předsedu Sněmovny. SPOLU má tři kluby, největší je poloviční jako klub ANO, jsem ráda, že je konec této hrůzvlády a bylo by dobré, kdyby se nevrátila",after
"@nikolehejzlaro1 @AndrejBabis @ZdravkoOnline @adamvojtechano Děkuji, ale to se musíte zeptat @CT24zive @ReporteriCT @NEOVLIVNICZ @Reporter_CZ @SeznamZpravy @Aktualnecz @enkocz..Ja vám neumim odpovědět, proč mlčí.",before
"@AndrejBabis P Š T! My tě nechceme slyšet, chceme tě vidět, ideálně ve vězení.",after
@jedlenka @AndrejBabis @CNNPrima Děláš chybu jedlenko,before
"@VojtchNmec18 @Sedlacek_Jan @jedenpes vy jste sluníčko pane Němec, a že vám fakta nescházela, když tady pražskokavárenská úderka lhala před volbama o tom, že pral Babiš peníze ve Francii.",after
Babiš byl poražen a teď už bude jenom lépe :) ,after
"@MichalTaubr @JZdesena @AndrejBabis Určitě vám nebudou vadit podobné praktiky dalších majetných lidí, kteří v této době nebyli politiky jako AB. Nebo že by vám vadilo danění třeba Kvitove?",after
"@jimmbo205 Tak jsou to kandidáti v mém kraji. Na druhou stranu je to vlastně úplně zbytečný, asi mě Foldyna nepřesvědčí změnit volbu, Babiš tím míň, máš pravdu 😁",before
"@Posledniskaut @AndrejBabis  Kdo lže ? Ten krade ! Kdo krade ? Do AN... se hrabe.  Už jen tři dny a pohádky snad bude konec 😀@adamvojtechano @další .... oni vědí, že ? 😷",before
"@AndrejBabis @CNNPrima Jděte již do důchodu a nechte nás svobodně dýchat. To, co jste spolu se socany a komunisty provedli je neomluvitelné. Škodíte této republice a nám všem. Co firem jste zlikvidoval a pak koupil  co dotací jste získal. Nemám vás rád a přeji si změnu. Nechci další totalitu",before
Babiš nasekal dluhy a úroky rostou. Před novou vládou jsou drastické škrty nebo zvyšování daní ,after
"@Ja09724729 @AndrejBabis AB rozkrádá dotace, na něž nemá právo, protože jsou určeny pro malé a střední firmy/farmy, jejichž majitele o ně tím pádem oškube. Nebo krade dotace pro nové technologie - viz podvod s linkou na toasty. Celkem si každý rok nakradl miliardy - jako premiér bez kontroly a omezení...",after
"@SprymarMiksa @CerminJan @AndrejBabis Mě je divná jiná věc. Babiš byl očkován jako první 27.12. Takže všichni, kteří se očkují už teď třetí dávkou by měli jít po něm. Proto si myslím, že datum očkování si nechal posunout on sám. A kdy jindy mu to může hodit nějaký hlas, než den před volbami?",before
"@jedlenka @AndrejBabis @vondraczech Ano, staví se k tomu čelem a ani trochu nekňučí.",after
"Fiala odpovídá, že ví kam patříme.
Pak ovšem přichází Babiš a pláče, že mu už dnes nic nového Bartoš neřekne o Krpálkovi. Babiš je v amoku.
Rakušan se mu snaží vysvětlit to, co mu pomáhá likvidovat diskusi.",before
@PatrikNacher @AndrejBabis Přestat hledat problémy a začít realizovat východisko z nich #Tvorivaspolecnost #allatraunites @TvAllatra,after
"@JardaEfko @AndrejBabis No tak se Jarouši s námi pomalu rozluč, asi taky končíš 😁",after
"@Kman_CZ Babiš tady buduje druhé Maďarsko? Based, chci druhé Maďarsko.",before
"Andrej Babiš o mně opakovaně lže. Rozhovor o nelegální migraci by si měl přečíst celý, ale to by jako premiér musel umět s počítačem, což mu podle jeho vlastních slov nejde. 

Takhle zbývá jen teletext, ale ten mu blokuje jeho oblíbený prezident.🤷🏻‍♀️",before
@AndrejBabis @alenaschillerov Jééé to je tak hezký a vtipný. To já vám to v těch prezidentských volbách budu muset snad hodit. Ali to v poslední době mocinky slušánkuje. Nezhubla? Prezidentská kampáááň už ofiko běží nebo ne?,after
"@KokoRoko6000000 @realbenedikz @Mikiferjencik Babiš byl 10 let člen KSS proboha. Srovnejte si v Průhonicích notičky. Včera mi tu zas jinej fejk tvrdil, že Faltýnek už není poslanec a nekandiduje.",before
"@TomasZdechovsky @AndrejBabis Trochu si pletete zákonnou migraci s anarchii...to je docela rozdíl...humanitární ohledy dle zákona, nikoliv mimo...😅...europoslanče...🙂...to bychom mohli zrušit hranice po celém světě ?...umíte si to představit ?...😅..no snad jo...😪",before
"@wasp_lastchance @CNNPrima @AndrejBabis Doufejme 🙏🙏🙏
Míša jde letos poprvé volit a vím, že její hlas také pomůže toho šmejda odstavit od moci,  dotací....",before
"@AndrejBabis Mimochodem, jak to vypadá s těžbou Lithia?",after
"@Brendy1968 No z mlíka se poserete ale z pančovanýh chlastu lidi umřeli a oslepli a to tady žádnej babiš nebyl fešáku, je všem tady jasný, že jsi momentálně zavostalej ale to tě nevomlouvá.",after
"@alenaschillerov @AndrejBabis Alenko, ty kecko... Už se prosím do toho odborníkům nemontuj...",after
"@End_of_Matrix @babinek_jiri @JZdesena @AndrejBabis Vy ste se teď probral ze spánku??? 🤣😂🤣 vy jste neslyšel opozici ( dnešní spolu a piratistan) jak během dvou covidových let neustále brečela že komu se musí přispět a komu pomoct? Jste jen debil nebo ho jen ze sebe děláte???,?",after
"@pereko @RadekVesely5 @pandi_kralovna @AndrejBabis Chcete tím říct, že očkování je k ničemu? Nebo jste se jen nezamyslel?",after
@JardaEfko @AndrejBabis V pekle mají postele?,after
"@ivondrak ANO, bude líp 🤡🤡🤡 @ivondrak neschopnost vládyANOfertu @AndrejBabis vysvětlit důležitost očkováni holt nebyla priorita. Když Agrofertu z toho nekápne, tak holt smůla.",after
"@Telicka @AndrejBabis Pomohla by novelizace lustračního zákona, že každý kandidát na prezidenta musí předložit negativní lustrační osvědčení...??",after
"@AndrejBabis Jasně že jo. Bylo by spíš divný, kdyby pravda o loupežníkovi na jeho vysledek ve volbách dopad neměla, ne?",after
@KrepelaJ @AndrejBabis To je chyba opozice no jako všechno ostatní 😂,after
"@IgorHAdamovic @AndrejBabis Řada lidí se už bojí. Ten pracovník FU, který si dovolil poslat kontrolu přišel o místo. Lidl také svůj boj vzdal... pokud znovu vyhraje nastoupí nová normalizace",before
🤫Pekarová nechce ve vedení sněmovny zástupce demokraticky zvolené strany.Válek slibuje dostupnou péči každému kdo si připlatí. Richterová už tak moc nebude bojovat za práva stejnopohlavních páru.Hayto chce převychovat voliče SPD🤮. Andrej je stejně největší borec @AndrejBabis ☝️,after
"@dubova_lenka @AndrejBabis Paní Lenko. Taková věcná. Pokud si ještě jednou přečtete co AB říká, tak tam je ""Prezident mi v neděli potvrdil, že mě jako předsedu nejsilnější strany pověří sestavením vlády"" .Pověří, ne pověřil. což je rozdíl.",after
"@JanPovysil @jietienming @sssirda Nerudová nemá nejmenší šanci. To je tak typická kandidátka „pražské kavárny“, že by ji převálcoval snad i Okamura. Babiš si ji dá k svačině.",after
"Katolík, protestant, muslim a Babiš se chlubí svým bohatstvím.
Katolík: ""Mám takové jmění, že se chystám koupit Citibank!""
Protestant: ""Já si koupím General Motors!""
Muslim: ""Já si hodlám koupit Microsoft!""
Babiš: ""Já ale nic z toho neprodávám!""",before
"@Vit_Rakusan @AndrejBabis ""Podle sebe,soudím tebe""-stará ",after
"@JardaEfko @PREZIDENTmluvci @AndrejBabis Andrej Babiš
1. věděl, jaký je stav pana prezidenta,
2. dělal dnes překvapeného a hodně přemýšlel co řekne, aby
3. zahájil kampaň na prezidenta protože mj.
4. ho nebaví sedět v parlamentu a
5. potřebuje imunitu a taky to všem nandat, protože on je prostě
The Best
Jájínek",after
@jardie666 @MJureka @AndrejBabis Neporovnaval bych boj s pandemii a propousteni stat zamestnancu.V evrope nebyla pandemie 100let-podle toho taky byly zakony na boj s pandemii pripraveny.u stat uredniku jsem zvedav jak to dopadne s ohledem ke strukture stat zamestnancu a kterou skupinu souc vlada nabrala-prilohy ,after
"@AndrejBabis A to říká premiér, agent StB, podporovaný @czKSCM a bezpáteřnou @CSSD, který zdevastoval finance státu, důvěru lidi ve stát, zneužíval dotace……..dál asi netřeba. Chce se mi blít Velebnosti.",after
"Babiš prohrál, velký den pro českou demokracii. Ze sněmovny konečně vypadli komunisté | ",after
"@walterkraft6 od voleb je to celé jeden velký bizár
myslím, že na to Babiš vsadil...",after
"@oprokop @AndrejBabis @KarelHavlicek_ @alenaschillerov Píšu z Moravy.
Nechci odpuštění daně z energií, protože bych to musel platit.",after
"@AndrejBabis ve @StandaShow: ""Nasadili na mě @Vit_Rakusan a on je agresivní a brutálně lže."" Hmmm, tak to bych řekl, že to je naopak.",before
